encode=UTF-8
name=T9筆劃
key=uiojkp
len=5
auto_clear=0
normal=normal_big5.txt
user=cj_user.txt
assist=` mb/mb/phonetic_pin.txt
uiikjkiuo 蕷
uiujukkjikuiu 搐
ikuiuuiuuij 畤
uiiojuuijo 菳
kouikkikik 媧
oujoujoikuu 篁
oujoujoikuu 箄
oujoujoikuu 籩
kukjkjjoiku 鵋
okuuuiiuokuouikuikkoj 臟
kkjjjjikuiuikukujk 繾
ikuojjokou 哸
uikokuujujouik 醅
uikokuujujouik 醷
okuui 用
okuui 腸
okuui 腥
okuui 腮
okuui 膛
okuui 腆
okuui 膿
okuui 胛
okuui 胦
okuui 刖
okuui 胭
okuui 胂
okuui 臞
okuui 脭
okuui 膗
okuui 胑
okuui 胱
okuui 膃
okuui 臚
okuui 臊
okuui 腡
okuui 胴
okuui 腢
okuui 臅
okuui 臄
okuui 膕
okuui 朒
okuui 肭
okuui 膢
okuui 腲
okuui 腓
okuui 膼
okuui 腭
oijjkjkjjikii 儜
uiujuouiiuikuiuoj 擴
uiujuouiiuikuiuoj 壙
ojuuijoujuikuiki 鎬
ikkjkikuujouuuo 髊
uiiojojui 莝
uiiojojui 蓌
uiiojojui 遳
ikijjkuuu 幰
jkijojuikuikuikui 禴
okikuiujjjjjouuui 鮮
okikuiujjjjjouuui 鱔
uiojikioijuuui 欈
jukkooijuuuiuoj 饔
oiikuuiojuiu 堡
ikuuuiiuikio 暪
uiojuoikuujkjk 櫌
ikiiukuouui 罻
ikuiujjouuiuoui 蟻
oikuuuku 梟
oikuuuku 鄡
jjkokouuojk 寲
oiiokjikjouiuujjjj 儵
uiojuiiuku 楪
uiiikouio 菌
uiiokouu 萄
uiiokouu 薿
uiojoiiukuku 棩
uiojuiikjo 楠
juoiuuikuik 亹
ouiuuiuikiiu 犢
ikuikuikuuuiuko 戰
oujoujjou 箭
ikuikuikuiuuikuu 獸
ikuikuikuiuuikuu 鼉
kiuojikiojojo 隬
kiikuui 隅
kiiuuui 陫
uiuikuikuuokuii 壧
oiij 償
oiij 倘
oiij 俏
oiij 仆
oiij 儅
oiij 儻
uiijuouiiujjj 蔗
uuuikoo 挈
uuuikoo 觢
ikiouui 幠
jukkooijuuu 雍
jukkooijuuu 壅
jukkooijuuu 罋
jukkooijuuu 饔
jukkooijuuu 甕
jouiojkiuoji 糈
uiuuikjjjjuikiiuikuu 驔
ujkijjjjuouuk 震
ikujujouikuuok 噷
ojuuijouikiiuuikuok 鐶
ikuuuojoku 貾
ikuuuojoku 賙
ikuuuojoku 贍
jkiojojojik 裕
kouijojkikuik 嫦
uiiuikuuiuikiiu 韆
uiojiijoujouuiuii 欉
uiukkuiuikui 蝁
uiojuiijjuuikuuiju 欂
uiuijojkikuikj 攩
uojuukii 刳
ikujuouiiuikuiu 嚝
ikujjuouk 嗨
oikuuiujj 儘
ikuiujuiijkuuokoooj 蠓
juojujukoououu 瘯
ujkijjjjkj 霧
ujkijjjjkj 霿
ujkijjjjkj 霯
ujkijjjjkj 霫
ujkijjjjkj 雺
kkojkuukjkijujo 響
uokooojoo 豵
ikuiuiukkkikoj 躐
oikikjk 怹
ouuoojk 掰
uikuuuiuuiui 輤
uiiuikuiuuok 燕
uiiuikuiuuok 鷰
uiiuikuiuuok 酀
ojuuijoujuikuikuuuiiu 鑲
ojuuijouuiiojuiku 鎝
uuiuuiiikuikuoi 瓘
uikokuuoijuuuiu 醀
uikokuuoijuuuiu 醮
oiuiuuukoj 倀
uikokuujuouio 醾
ujkijjjjjuikuki 霩
kkjjjjikioijuuuiuik 纗
kouikuuikuuu 嫻
kouikuuikuuu 媢
uiojjouuiujjjj 榚
uiojouok 栴
ikuiujkjkjkjk 蝃
ikuiuiuuio 蹅
uiojuiojk 楚
uiojuiojk 婪
uiojuiojk 郴
uiuuikjjjjuikuiku 驅
jjuuikuijkikuikuuui 灢
uiuuiiukuioj 堞
uiuuiiukuioj 揲
okuukukikuikuiuj 膙
jujouuokkjiojjuj 辮
ikuuuojikuiiuo 賟
ikuuuijojkikuikjoui 矘
ojuiojjuu 弒
ooijuikuikuuuiiuokoj 忀
ikuuikuuuuiu 閏
iuuuiuuuikiuikujouokkiu 艷
uiojkkkji 紮
uiiuikuuuijk 蓮
ojjkuukjojjo 餒
kouoijuuuiuoi 孇
juojuukuk 痍
uiuiuojukko 越
ukjui 到
ukjui 至
ukjui 致
ukjui 臻
ukjui 郅
ukjui 臸
ukjui 臹
jjujjkoju 涳
jjujjkoju 漥
jjujjkoju 湥
uiuuikjjjjko 駋
uiuuikjjjjko 騛
uiojjkuoiku 楄
uiojjkuoiku 槴
uikokuujuikuk 醇
juojuojuikijouik 癐
juojuojuikijouik 癐
oiukuuikuiu 舅
uuokki 邧
joojojuo 烯
jkijojjouu 禐
ikuoiukuui 嗖
okikuiujjjjikuuiku 鯧
okikuiujjjjikuuiku 鱦
juuuikuikuuuiuoj 諟
uoikuuikiiuikuuu 磹
uiuikuuukj 捑
ojuuijouojuuijouo 鑫
juokiiuukokjukjoi 麍
uiuuikjjjjjujouiku 騿
juuiuojuiuokjoko 褻
ikuuuiikjouui 暔
ikuikuuikiuj 喁
uikuuuiikuuui 輠
jjuikuiuikuiuikuiuu 灅
ikukuoijuo 囑
uiujujouikuuuk 攏
juuuikukiuoj 諝
uiioikj 薁
uiioikj 葰
ikojjjuuiiuikiojo 濷
uiiuuuiojuiiui 藉
uiiuikuuiuiuikiiuikuuu 韇
juuuikuoijuuuiuk 謢
oujoujuiuikiiu 籜
jjkiuikuuuoj 寊
ooiikuuuikuuu 衢
uiojkjkjkjojooo 槮
okikuiujjjjiku 魯
okikuiujjjjiku 鯉
okikuiujjjjiku 鰻
okikuiujjjjiku 鯧
okikuiujjjjiku 魻
okikuiujjjjiku 鯷
okikuiujjjjiku 鰣
okikuiujjjjiku 鱢
okikuiujjjjiku 鮦
okikuiujjjjiku 鰅
okikuiujjjjiku 鱧
okikuiujjjjiku 鱦
okikuiujjjjiku 鰨
okikuiujjjjiku 鯤
okikuiujjjjiku 鰓
uiijjujukjoik 蓅
oikuuokkjuu 魅
ikuujjk 暄
ikuujjk 晏
ikuujjk 晥
ikuujjk 鷃
ikuujjk 晼
kkjjjjuikuio 綀
kjukjujui 翯
kjukjujui 翞
iuikojjjjjujouuuouiu 鹺
oikuuukjjjjikuuuiiuojijuoj 鸔
uiuokuuokuu 堋
uiuokuuokuu 掤
ikuukkjkkj 顯
ikuukkjkkj 歞
uoikuikuiuiku 礧
ikuuuojuikuikuojo 瞼
ikujuuuiku 唁
ojuuijoujouii 鐠
ujkijjjjuiiuik 霸
ujkijjjjuiiuik 霰
ojuuijouojuikuikui 鑰
uiujuikiiuijuojokoj 壞
jouuojiuiuojojuojojk 齤
kkjjjjjujou 織
kkjjjjjujou 繶
juojukjukjuojo 瘳
oikuuukjjjjkjojokj 鵔
jukkooij 雍
jukkooij 壅
jukkooij 罋
jukkooij 饔
jukkooij 甕
koikuuio 架
uooikuuiojuoikuuuo 願
uiuuikjjjjikioijuuuiui 驨
koujuouiiuj 嫬
ouiojojjooi 稻
uiojuiijkuu 檬
joojojjkik 焓
uiojuuioj 隸
uiojuuioj 枺
uiojuuioj 柰
uiijjijuikiiuijuojoko 蘹
jjuojjkj 泠
jjuojjkj 淰
juuuikuoiukuui 謏
uiojkkuokooojiku 欚
jjujujouo 滻
iukoukokoiiokjikjo 虪
oiikuuuojiku 儩
uuojuuojui 輦
uuojuuojui 鄻
uiijuojuoikuuokk 藱
ojuuijoujujouiku 鐘
ojuuijoujujouiku 鏡
ojuuijoujujouiku 鑨
ojuuijoujujouiku 鐿
oiuuikuikukuujkuikokuu 釁
ojuuijouiukoukuokooo 鐻
ikuuokoo 易
ikuuokoo 剔
ikuuokoo 啄
ikuuokoo 哤
ikuuokoo 昒
ikuouiuko 哦
uiujuouiojuiojiuuu 攠
jjuouiojjooj 湫
jjkkiuouiko 寎
uikuuuiu 轉
uikuuuiu 輕
uikuuuiu 輛
uikuuuiu 輔
uikuuuiu 轟
uikuuuiu 輻
uikuuuiu 軒
uikuuuiu 輒
uikuuuiu 轅
uikuuuiu 軾
uikuuuiu 轣
uikuuuiu 輊
uikuuuiu 轒
uikuuuiu 輁
uikuuuiu 軏
uikuuuiu 軑
uikuuuiu 輳
uikuuuiu 轞
uikuuuiu 轃
uikuuuiu 軯
uikuuuiu 轕
uikuuuiu 軛
uikuuuiu 輘
uikuuuiu 軷
uikuuuiu 鑋
uikuuuiu 轖
uikuuuiu 輤
uikuuuiu 軻
uikuuuiu 輀
uikuuuiu 轋
uikuuuiu 軘
uikuuuiu 輚
uikuuuiu 轗
uikuuuiu 轑
uikuuuiu 軲
uiuuikjjjjjujouui 騂
uuiuoukiuo 琁
ikuuuoijuuui 瞧
ikuuuoijuuui 雎
ikuuuoijuuui 睢
uiojjoukuu 槏
ikiiujjioij 罹
ikuiujkoiku 蛁
jkijuikiiuuiu 禋
oiukuukjjkjjkuikuiku 鼯
uiukuoij 墀
uiukuoij 摨
ikuiuiuuiiuuuk 踂
ikuiuiuuiiuuuk 踙
kiuouiujoo 焋
uuoii 型
uuoii 刑
uoikuujkjk 憂
uoikuujkjk 鄾
ojjkuukjooijj 餰
uokooojuiujk 豷
juokojo 秶
juokojo 餈
joojjoojjkoikuuukjj 鶯
uikujouui 豇
uikujouui 豉
ikujujoikookjoi 嚌
juokuukjok 廄
oijokkk 偽
uiojuojuuko 槬
uokoui 尰
uiujjkokjjkjuui 擦
juuuikuikiiuuiujou 譯
uiiikuikuoijuuuiuu 顴
ikuiujoiuiu 蚯
jjijkuukoj 悢
jouiojjuokuuijuo 糠
uiojokokuuikoouu 檞
jkjoui 冞
uuiuokjj 瑤
uuiuokuik 珮
jkokoik 鴆
koukou 姦
koukou 奻
jjkojjouiojjjui 窲
ojuuiojj 途
ojuuiojj 斜
ojuuiojj 悆
uiuikujouikuui 囍
uiuuikjjjjuiiuuukjo 驟
okjoojuo 熲
uuuikouoj 契
jkijoo 祈
jkijoo 禠
juuuikujujojki 諦
uikokuuuiioju 醛
uiuikuioju 捆
uiuuojuikui 埼
uiuuojuikui 掎
uoikuujkijjjjoijuu 礭
ukuoik 頃
oijukooj 侅
ojjkuukjuiukjikii 饁
okikuiujjjjuikjuikjjuokiiuuk 鱺
ikiikuikuikuuioj 幧
uuiuuo 弄
uuiuuo 琢
uuiuuo 琦
uuiuuo 頊
uuiuuo 珛
uuiuuo 珔
uuiuuo 瑊
juojojki 郊
jjuojkoikiiu 湓
uikuikouuiik 盬
ojuuijouoikuukkjkkjuio 鑠
uiujuikiiui 壞
uoukouk 威
jujouuokojujo 辦
uuiuuiiokikuo 璥
ikiiujo 罾
uiojjujouuiojikuuuo 櫬
uojoukiookojikui 蟨
jkiojuiiikiiuuojkoj 襪
ujkijjjjjjuojj 霪
uiuikiiuuiku 擐
juuuikuuooiku 謜
oujoujjujouoouu 簅
jjiiuu 懻
jjiiuu 悱
uiuuikjjjjuiiuikuiu 驠
ouiiku 甜
ouiiku 舌
ouiiku 刮
ouiiku 憩
ouiiku 舔
ouiiku 适
ouiiku 舐
ouiiku 舑
ouiiku 舕
ouiiku 鴰
jjujouoji 溢
juokiiuukukj 麟
oikuuuojjkuuiuouuikiiku 軉
uiuuikjjjjuikiiukou 騕
uiuikuuukok 掍
ikuojjojkjkjjok 噯
ookjuji 舢
ookjuji 艒
ookjuji 舺
ookjuji 艡
ookjuji 舳
ookjuji 艣
ookjuji 艫
ookjuji 舯
ookjuji 艄
ookjuji 艛
kkjjjjjuojkii 縭
uiojoikuuju 檄
juojojo 效
juojojo 鵁
okikuiu 魚
okikuiu 鮮
okikuiu 魯
okikuiu 鮑
okikuiu 甸
okikuiu 鱗
okikuiu 鯨
okikuiu 穌
okikuiu 鱖
okikuiu 鱔
okikuiu 鯛
okikuiu 鰥
okikuiu 魷
okikuiu 鯉
okikuiu 鯁
okikuiu 鰻
okikuiu 鰍
okikuiu 鯧
okikuiu 鯡
okikuiu 鱣
okikuiu 魻
okikuiu 鱆
okikuiu 鯓
okikuiu 鱹
okikuiu 鯥
okikuiu 鮭
okikuiu 鰉
okikuiu 鱕
okikuiu 鰡
okikuiu 魟
okikuiu 鰹
okikuiu 鯔
okikuiu 鯆
okikuiu 鱮
okikuiu 鰿
okikuiu 鯕
okikuiu 魧
okikuiu 鮵
okikuiu 鱙
okikuiu 鯢
okikuiu 鯇
okikuiu 鮸
okikuiu 鯷
okikuiu 鯸
okikuiu 魰
okikuiu 鰬
okikuiu 魴
okikuiu 魼
okikuiu 鰣
okikuiu 鱄
okikuiu 鮒
okikuiu 鱘
okikuiu 鱒
okikuiu 鮿
okikuiu 鮓
okikuiu 魽
okikuiu 鱋
okikuiu 鱭
okikuiu 鱸
okikuiu 魤
uokjukk 殌
kiuoukouko 隇
koujuuiu 妵
ukjkjui 晉
ukjkjui 戩
ikuiuiuuiiuuuui 躡
kkuoko 蠡
kkuoko 彖
kkuoko 劙
kkuoko 鶨
uiojuiiikuui 欗
kkjjjjouio 緌
ojuuijouuiikuikuuikui 鑩
jjujuikujkok 湸
ikiiujuuuikukkjjjjkkji 羉
uiiuikuuijui 鞹
uiiuikuuijui 蒪
jjuuiiikuuiku 灡
jkiojuiojojojuiojuojouu 襻
uokoooji 豱
ojuuijouiijouj 鏷
ojuuijouiijouj 鑆
jjuuijkkiuk 渤
juojuikuikuikui 癌
kjjik 蚤
uiuuukjoooooouoiku 鬚
juoojoj 座
kkjjjjuikjuikjjuokiiu 纚
uiojojojokjiu 麷
ikjouiuujjjjuiuikiiuikuuuoj 黷
ouiujouuiu 犧
uuuiojikuuuk 耡
